unit,isced11,age,sex,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 
NR,ED0,TOTAL,M,SK	55 	70 	70 	116 	60 	48 	42 
NR,ED0,TOTAL,M,UK	1918 bd	1634 	1627 	835 	: 	3140 	: 
NR,ED0,TOTAL,T,AT	31963 	30113 	29056 	29228 	27476 	25871 	25189 
NR,ED0,TOTAL,T,BA	2131 	: 	: 	: 	: 	: 	: 
NR,ED0,TOTAL,T,BE	: 	: 	35890 d	35626 d	35254 d	: 	: d
NR,ED0,TOTAL,T,BG	18132 	18029 	18344 	18857 	18982 	18769 	18509 
NR,ED0,TOTAL,T,CH	15127 	14817 	14801 	14697 	14113 	14149 	13259 
NR,ED0,TOTAL,T,CY	2533 	2350 	2426 	2150 	2535 	1457 	1409 
NR,ED0,TOTAL,T,CZ	28302 	28033 	27904 	27765 	27624 	26881 	25779 
NR,ED0,TOTAL,T,DE	544209 	528021 	505760 	485388 	469451 	449832 	423536 
NR,ED0,TOTAL,T,DK	72579 d	70569 b	44946 	: 	: 	: 	: 
NR,ED0,TOTAL,T,EE	8250 	8191 	8194 	8252 	8496 	8271 	7891 
NR,ED0,TOTAL,T,EL	24145 	: 	: 	: 	: 	: 	: 
NR,ED0,TOTAL,T,ES	156913 	154096 	151182 	151551 	152562 	153812 	157721 
NR,ED0,TOTAL,T,EU27_2020	1470531 d	1489250 d	1431476 d	1388093 d	1372070 d	: 	: 
NR,ED0,TOTAL,T,EU28	1515412 d	1533729 d	1476837 d	1429912 d	: 	: 	: 
NR,ED0,TOTAL,T,FR	117381 	118884 	118763 	118604 	117097 	117716 	114514 
NR,ED0,TOTAL,T,HR	12872 	12363 	12156 	11271 	10940 	10614 	10345 
NR,ED0,TOTAL,T,HU	26595 	26778 	26702 	26748 	26480 	: 	: 
NR,ED0,TOTAL,T,IE	21634 d	20543 	18378 	16002 	16002 	: 	: 
NR,ED0,TOTAL,T,IS	5264 	5118 	4965 	5026 	5065 	4874 	4747 
NR,ED0,TOTAL,T,IT	130238 	131040 	132170 	132880 	131922 	: 	132718 
NR,ED0,TOTAL,T,LI	100 	91 	: 	: 	: 	: 	: 
NR,ED0,TOTAL,T,LT	14873 	13942 	13080 	13528 	12910 	12611 	12457 
NR,ED0,TOTAL,T,LU	1803 	1707 	1402 	1691 	1842 	1624 	1690 
NR,ED0,TOTAL,T,LV	11397 	11525 	10164 	7650 	7532 	7252 	5796 
NR,ED0,TOTAL,T,ME	1305 d	1244 	: 	: 	: 	: 	: 
NR,ED0,TOTAL,T,MK	5310 	5081 	4711 	2996 	2808 d	2676 	2573 
NR,ED0,TOTAL,T,MT	876 d	780 d	783 d	784 d	732 d	676 	683 
NR,ED0,TOTAL,T,NL	31167 	30341 	31742 	32490 	33002 	33028 	33768 
NR,ED0,TOTAL,T,NO	31249 	27652 	27021 	26878 	25158 	28060 	26957 
NR,ED0,TOTAL,T,PL	106998 	102463 	100161 	92356 	91024 	86968 	81134 
NR,ED0,TOTAL,T,PT	: 	: 	: 	: 	: 	15563 	16331 
NR,ED0,TOTAL,T,RO	35460 	35468 	34944 	35084 	35605 	: 	: 
NR,ED0,TOTAL,T,RS	: 	18661 	17765 	17198 	16527 	16232 	: 
NR,ED0,TOTAL,T,SE	52288 	118640 	118411 	114650 	110868 	: d	101719 
NR,ED0,TOTAL,T,SI	5354 	11230 d	11025 d	10901 d	10782 d	10558 d	10453 d
NR,ED0,TOTAL,T,SK	14568 	14144 	13782 	13410 	13016 	12590 	12250 
NR,ED0,TOTAL,T,UK	44881 	44480 	45361 	41819 	: 	83786 	: 
NR,ED0,UNK,F,AT	2551 	1713 	1650 	1470 	829 	0 	0 
NR,ED0,UNK,F,BA	0 	: 	: 	: 	: 	: 	: 
NR,ED0,UNK,F,BE	: 	: 	1 d	2 d	0 d	: 	: d
NR,ED0,UNK,F,BG	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,F,CH	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,F,CY	9 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,F,CZ	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,F,DE	101 	98 	99 	96 	1 	0 	0 
NR,ED0,UNK,F,DK	0 d	0 b	0 	: 	: 	: 	: 
NR,ED0,UNK,F,EE	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,F,EL	3 	: 	: 	: 	: 	: 	: 
NR,ED0,UNK,F,ES	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,F,EU27_2020	67733 d	66860 d	65352 d	63471 d	61867 d	: 	: 
NR,ED0,UNK,F,EU28	67734 d	67950 d	66442 d	64900 d	: 	: 	: 
NR,ED0,UNK,F,FR	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,F,HR	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,F,HU	0 	0 	0 	0 	0 	: 	: 
NR,ED0,UNK,F,IE	21278 d	20271 d	18127 	15820 d	15820 d	: 	: 
NR,ED0,UNK,F,IS	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,F,IT	43791 	44778 	45476 	46083 	45217 	: 	45549 
NR,ED0,UNK,F,LI	0 	0 	: 	: 	: 	: 	: 
NR,ED0,UNK,F,LT	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,F,LU	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,F,LV	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,F,ME	0 d	0 	: 	: 	: 	: 	: 
NR,ED0,UNK,F,MK	0 	0 	0 	: 	2790 d	2657 	2556 d
NR,ED0,UNK,F,MT	0 d	0 d	0 d	0 d	0 d	0 	0 
NR,ED0,UNK,F,NL	0 	0 	0 	0 	0 	0 	1 
NR,ED0,UNK,F,NO	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,F,PL	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,F,PT	: 	: 	: 	: 	: 	0 	0 
NR,ED0,UNK,F,RO	0 	0 	0 	0 	0 	: 	: 
NR,ED0,UNK,F,RS	: 	: d	: 	: 	: 	: 	: 
NR,ED0,UNK,F,SE	0 	0 	0 	0 	0 	: d	: 
NR,ED0,UNK,F,SI	0 	0 d	0 d	0 d	0 d	0 d	0 d
NR,ED0,UNK,F,SK	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,F,UK	1 bd	1090 	1090 	1429 	: 	2 	: 
NR,ED0,UNK,M,AT	128 	96 	67 	37 	30 	0 	0 
NR,ED0,UNK,M,BA	0 	: 	: 	: 	: 	: 	: 
NR,ED0,UNK,M,BE	: 	: 	1 d	2 d	0 d	: 	: d
NR,ED0,UNK,M,BG	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,M,CH	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,M,CY	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,M,CZ	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,M,DE	1 	2 	1 	1 	0 	0 	0 
NR,ED0,UNK,M,DK	0 d	0 b	0 	: 	: 	: 	: 
NR,ED0,UNK,M,EE	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,M,EL	0 	: 	: 	: 	: 	: 	: 
NR,ED0,UNK,M,ES	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,M,EU27_2020	1520 d	1185 d	1352 d	1151 d	1010 d	: 	: 
NR,ED0,UNK,M,EU28	1520 d	1207 d	1375 d	1180 d	: 	: 	: 
NR,ED0,UNK,M,FR	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,M,HR	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,M,HU	0 	0 	0 	0 	0 	: 	: 
NR,ED0,UNK,M,IE	356 d	272 d	251 	182 d	182 d	: 	: 
NR,ED0,UNK,M,IS	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,M,IT	1035 	815 	1033 	929 	798 	: 	2174 
NR,ED0,UNK,M,LI	0 	0 	: 	: 	: 	: 	: 
NR,ED0,UNK,M,LT	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,M,LU	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,M,LV	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,M,ME	0 d	0 	: 	: 	: 	: 	: 
NR,ED0,UNK,M,MK	0 	0 	0 	: 	18 d	19 	17 d
NR,ED0,UNK,M,MT	0 d	0 d	0 d	0 d	0 d	0 	0 
NR,ED0,UNK,M,NL	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,M,NO	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,M,PL	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,M,PT	: 	: 	: 	: 	: 	0 	0 
NR,ED0,UNK,M,RO	0 	0 	0 	0 	0 	: 	: 
NR,ED0,UNK,M,RS	: 	: d	: 	: 	: 	: 	: 
NR,ED0,UNK,M,SE	0 	0 	0 	0 	0 	: d	: 
NR,ED0,UNK,M,SI	0 	0 d	0 d	0 d	0 d	0 d	0 d
NR,ED0,UNK,M,SK	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,M,UK	0 bd	22 	22 	29 	: 	2 	: 
NR,ED0,UNK,T,AT	2679 	1809 	1717 	1507 	859 	0 	0 
NR,ED0,UNK,T,BA	0 	: 	: 	: 	: 	: 	: 
NR,ED0,UNK,T,BE	: 	: 	2 d	4 d	0 d	: 	: 
NR,ED0,UNK,T,BG	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,T,CH	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,T,CY	9 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,T,CZ	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,T,DE	102 	99 	101 	98 	1 	0 	0 
NR,ED0,UNK,T,DK	0 d	0 b	0 	: 	: 	: 	: 
NR,ED0,UNK,T,EE	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,T,EL	3 	: 	: 	: 	: 	: 	: 
NR,ED0,UNK,T,ES	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,T,EU27_2020	69253 d	68044 d	66705 d	64623 d	62877 d	: 	: 
NR,ED0,UNK,T,EU28	69254 d	69157 d	67817 d	66081 d	: 	: 	: 
NR,ED0,UNK,T,FR	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,T,HR	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,T,HU	0 	0 	0 	0 	0 	: 	: 
NR,ED0,UNK,T,IE	21634 d	20543 d	18378 	16002 d	16002 d	: 	: 
NR,ED0,UNK,T,IS	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,T,IT	44826 	45593 	46509 	47012 	46015 	: 	47723 
NR,ED0,UNK,T,LI	0 	0 	: 	: 	: 	: 	: 
NR,ED0,UNK,T,LT	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,T,LU	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,T,LV	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,T,ME	0 d	0 	: 	: 	: 	: 	: 
NR,ED0,UNK,T,MK	0 	0 	0 	: 	2808 d	2676 	2573 
NR,ED0,UNK,T,MT	0 d	0 d	0 d	0 d	0 d	0 	0 
NR,ED0,UNK,T,NL	0 	0 	0 	0 	0 	0 	1 
NR,ED0,UNK,T,NO	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,T,PL	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,T,PT	: 	: 	: 	: 	: 	0 	0 
NR,ED0,UNK,T,RO	0 	0 	0 	0 	0 	: 	: 
NR,ED0,UNK,T,RS	: 	: d	: 	: 	: 	: 	: 
NR,ED0,UNK,T,SE	0 	0 	0 	0 	0 	: d	: 
NR,ED0,UNK,T,SI	0 	0 d	0 d	0 d	0 d	0 d	0 d
NR,ED0,UNK,T,SK	0 	0 	0 	0 	0 	0 	0 
NR,ED0,UNK,T,UK	1 bd	1112 	1112 	1458 	: 	4 	: 
NR,ED0,Y25-29,F,AT	3762 	3652 	3479 	3565 	3315 	3214 	3154 
NR,ED0,Y25-29,F,BA	441 	: 	: 	: 	: 	: 	: 
NR,ED0,Y25-29,F,BE	: 	: 	4981 d	5111 d	5069 d	: 	: d
NR,ED0,Y25-29,F,BG	1443 	1288 	1087 	1027 	894 	802 	814 
NR,ED0,Y25-29,F,CH	1990 	1989 	1973 	2009 	1913 	1765 	1725 
NR,ED0,Y25-29,F,CY	409 	404 	438 	442 	463 	290 	305 
NR,ED0,Y25-29,F,CZ	2854 	2827 	2636 	2638 	2552 	2465 	2074 
NR,ED0,Y25-29,F,DE	66277 	66238 	63833 	61963 	58823 	55180 	49978 
NR,ED0,Y25-29,F,DK	5834 d	5402 b	3964 	: 	: 	: 	: 
NR,ED0,Y25-29,F,EE	698 	692 	697 	698 	737 	689 	625 
NR,ED0,Y25-29,F,EL	1278 	: 	: 	: 	: 	: 	: 
NR,ED0,Y25-29,F,ES	12975 	12526 	12468 	12850 	13498 	14407 	15579 
NR,ED0,Y25-29,F,EU27_2020	142147 d	: 	148229 d	: 	: 	: 	: 
NR,ED0,Y25-29,F,EU28	146527 d	: 	154872 d	: 	: 	: 	: 
NR,ED0,Y25-29,F,FR	7793 	8336 	8289 	8518 	8303 	8891 	8770 
NR,ED0,Y25-29,F,HR	1487 	1362 	1374 	1277 	1366 	1410 	1424 
NR,ED0,Y25-29,F,HU	2378 	2191 	2135 	1624 	1533 	: 	: 
NR,ED0,Y25-29,F,IE	: d	: d	: 	: d	: d	: 	: 
NR,ED0,Y25-29,F,IS	694 	653 	631 	630 	588 	573 	545 
NR,ED0,Y25-29,F,IT	844 	747 	256 	156 	155 	: 	13 
NR,ED0,Y25-29,F,LI	14 	12 	: 	: 	: 	: 	: 
NR,ED0,Y25-29,F,LT	1110 	989 	905 	1004 	865 	769 	710 
NR,ED0,Y25-29,F,LU	226 	205 	189 	270 	340 	327 	358 
NR,ED0,Y25-29,F,LV	1045 	1095 	960 	684 	704 	645 	508 
NR,ED0,Y25-29,F,ME	79 d	55 	: 	: 	: 	: 	: 
NR,ED0,Y25-29,F,MK	252 	258 	249 	: 	: 	: 	: d
NR,ED0,Y25-29,F,MT	213 d	165 d	141 d	121 d	121 d	104 	89 
NR,ED0,Y25-29,F,NL	3283 	3172 	3364 	3594 	3782 	4031 	4232 
NR,ED0,Y25-29,F,NO	4635 	4119 	4130 	4255 	3985 	4478 	4217 
NR,ED0,Y25-29,F,PL	18395 	18619 	18142 	16553 	16442 	15648 	14707 
NR,ED0,Y25-29,F,PT	: 	: 	: 	: 	: 	824 	907 
NR,ED0,Y25-29,F,RO	3492 	4005 	4242 	4462 	4150 	: 	: 
NR,ED0,Y25-29,F,RS	: 	: d	: 	: 	: 	: 	: 
NR,ED0,Y25-29,F,SE	4412 	11095 	10380 	9437 	8713 	: d	: 
NR,ED0,Y25-29,F,SI	632 	1465 d	1528 d	1435 d	1484 d	1510 d	1603 d
NR,ED0,Y25-29,F,SK	1306 	1267 	1234 	1210 	1179 	1119 	977 
NR,ED0,Y25-29,F,UK	4380 bd	5957 	6643 	6370 	: 	16781 	: 
NR,ED0,Y25-29,M,AT	75 	70 	55 	60 	56 	47 	48 
NR,ED0,Y25-29,M,BA	9 	: 	: 	: 	: 	: 	: 
NR,ED0,Y25-29,M,BE	: 	: 	311 d	340 d	362 d	: 	: d
NR,ED0,Y25-29,M,BG	3 	4 	3 	4 	3 	1 	2 
NR,ED0,Y25-29,M,CH	66 	66 	71 	57 	61 	56 	43 
NR,ED0,Y25-29,M,CY	4 	2 	1 	2 	8 	2 	3 
NR,ED0,Y25-29,M,CZ	37 	37 	36 	34 	31 	36 	29 
NR,ED0,Y25-29,M,DE	6078 	5725 	5206 	4630 	4083 	3560 	2805 
NR,ED0,Y25-29,M,DK	1380 d	1487 b	875 	: 	: 	: 	: 
NR,ED0,Y25-29,M,EE	7 	9 	4 	10 	13 	11 	8 
NR,ED0,Y25-29,M,EL	14 	: 	: 	: 	: 	: 	: 
NR,ED0,Y25-29,M,ES	575 	549 	529 	557 	541 	563 	522 
NR,ED0,Y25-29,M,EU27_2020	10264 d	: 	10124 d	: 	: 	: 	: 
NR,ED0,Y25-29,M,EU28	10526 d	: 	10359 d	: 	: 	: 	: 
NR,ED0,Y25-29,M,FR	821 	808 	815 	800 	790 	914 	841 
NR,ED0,Y25-29,M,HR	17 	17 	23 	19 	20 	19 	32 
NR,ED0,Y25-29,M,HU	32 	32 	29 	23 	3 	: 	: 
NR,ED0,Y25-29,M,IE	: d	: d	: 	: d	: d	: 	: 
NR,ED0,Y25-29,M,IS	86 	73 	63 	78 	79 	60 	56 
NR,ED0,Y25-29,M,IT	18 	17 	13 	0 	0 	: 	0 
NR,ED0,Y25-29,M,LI	0 	0 	: 	: 	: 	: 	: 
NR,ED0,Y25-29,M,LT	41 	34 	25 	19 	12 	15 	10 
NR,ED0,Y25-29,M,LU	10 	9 	12 	18 	16 	19 	17 
NR,ED0,Y25-29,M,LV	20 	21 	7 	8 	8 	6 	8 
NR,ED0,Y25-29,M,ME	0 d	2 	: 	: 	: 	: 	: 
NR,ED0,Y25-29,M,MK	18 	7 	18 	: 	: 	: 	: 
NR,ED0,Y25-29,M,MT	2 d	0 d	0 d	0 d	0 d	0 	2 
NR,ED0,Y25-29,M,NL	481 	439 	444 	430 	472 	471 	465 
NR,ED0,Y25-29,M,NO	692 	585 	565 	527 	457 	496 	473 
NR,ED0,Y25-29,M,PL	344 	411 	429 	427 	400 	338 	335 
NR,ED0,Y25-29,M,PT	: 	: 	: 	: 	: 	8 	12 
NR,ED0,Y25-29,M,RO	13 	15 	15 	27 	23 	: 	: 
NR,ED0,Y25-29,M,RS	: 	: d	: 	: 	: 	: 	: 
NR,ED0,Y25-29,M,SE	260 	980 	982 	888 	768 	: d	: 
