unit,isced11,age,sex,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 
NR,ED02,Y50-54,F,HU	4660 	4957 	5271 	5702 	5861 	5767 	6816 
NR,ED02,Y50-54,F,IE	: d	: d	: 	: d	: d	: 	: 
NR,ED02,Y50-54,F,IS	199 	215 	221 	243 	243 	256 	237 
NR,ED02,Y50-54,F,IT	18596 	18416 	18117 	18425 	18244 	17713 	17404 
NR,ED02,Y50-54,F,LI	13 	12 	: 	14 	13 	14 	12 
NR,ED02,Y50-54,F,LT	1965 	1839 	1723 	1705 	1747 	2169 d	2395 d
NR,ED02,Y50-54,F,LU	124 	119 	92 	115 	115 	130 	124 
NR,ED02,Y50-54,F,LV	1180 	1189 	1019 	1027 	1049 	1049 	795 
NR,ED02,Y50-54,F,ME	127 d	: d	: 	: 	: 	: 	: 
NR,ED02,Y50-54,F,MK	: d	: d	581 d	: 	: d	: 	: d
NR,ED02,Y50-54,F,MT	84 	76 	71 	64 	55 	62 	82 
NR,ED02,Y50-54,F,NL	2667 	2798 	3068 	3243 	3408 	3593 	3839 
NR,ED02,Y50-54,F,NO	1057 	940 	895 	583 	536 	: d	1774 d
NR,ED02,Y50-54,F,PL	12574 	12765 	13794 	13326 	13620 	13287 	11923 
NR,ED02,Y50-54,F,PT	3025 	3221 d	3470 d	3627 d	3704 d	3677 d	3497 d
NR,ED02,Y50-54,F,RO	2412 	2530 	2747 	3235 	3828 	4521 	5148 
NR,ED02,Y50-54,F,RS	: 	: d	: 	: 	: 	: 	: 
NR,ED02,Y50-54,F,SE	5300 	10210 	10103 	9881 	9664 	: d	1707 
NR,ED02,Y50-54,F,SI	322 	734 d	864 d	959 d	975 d	988 d	980 d
NR,ED02,Y50-54,F,SK	2903 	2814 	2742 	2677 	2609 	2687 	2573 
NR,ED02,Y50-54,F,TR	1969 	1880 	290 	209 	: 	956 	828 
NR,ED02,Y50-54,F,UK	2676 bd	3171 	3220 	2484 	: d	6152 	7391 
NR,ED02,Y50-54,M,AT	26 	21 	22 	33 	32 	30 	30 
NR,ED02,Y50-54,M,BA	3 	: 	: 	: 	: 	: 	: 
NR,ED02,Y50-54,M,BE	61 	65 	62 	62 	52 	50 d	72 
NR,ED02,Y50-54,M,BG	5 	9 	7 	4 	9 	12 	9 
NR,ED02,Y50-54,M,CH	43 	40 	41 	44 	55 	64 	58 
NR,ED02,Y50-54,M,CY	0 	1 	1 	2 	2 	0 	1 
NR,ED02,Y50-54,M,CZ	4 	4 	7 	8 	8 	7 	9 
NR,ED02,Y50-54,M,DE	905 	807 	777 	701 	665 	647 	564 
NR,ED02,Y50-54,M,DK	165 d	173 b	: d	: 	: 	: 	: 
NR,ED02,Y50-54,M,EE	: d	: d	: d	: d	: d	: d	2 d
NR,ED02,Y50-54,M,EL	54 	61 	53 	45 	36 	16 	5 
NR,ED02,Y50-54,M,ES	703 	721 	747 	813 	891 	1011 	746 
NR,ED02,Y50-54,M,EU27_2020	4251 d	4342 d	4232 d	4729 d	4508 d	6731 d	6760 d
NR,ED02,Y50-54,M,EU28	4346 d	4427 d	4385 d	4780 d	: 	6997 d	7333 d
NR,ED02,Y50-54,M,FI	55 	53 	57 	60 	60 	68 	62 
NR,ED02,Y50-54,M,FR	1442 	1511 	1579 	1722 	1774 	1878 	1992 
NR,ED02,Y50-54,M,HR	2 	4 	3 	4 	5 	7 	7 d
NR,ED02,Y50-54,M,HU	5 	6 	6 	4 	0 	4 	7 
NR,ED02,Y50-54,M,IE	: d	: d	: 	: d	: d	: 	: 
NR,ED02,Y50-54,M,IS	2 	5 	3 	4 	2 	1 	0 
NR,ED02,Y50-54,M,IT	131 	110 	94 	87 	94 	79 	60 
NR,ED02,Y50-54,M,LI	0 	0 	: 	0 	0 	0 	1 
NR,ED02,Y50-54,M,LT	1 	3 	1 	7 	6 	2 d	10 d
NR,ED02,Y50-54,M,LU	3 	2 	2 	6 	5 	1 	2 
NR,ED02,Y50-54,M,LV	4 	4 	2 	3 	2 	1 	4 
NR,ED02,Y50-54,M,ME	1 d	: d	: 	: 	: 	: 	: 
NR,ED02,Y50-54,M,MK	: d	: d	62 d	: 	: d	: 	: d
NR,ED02,Y50-54,M,MT	0 	0 	0 	0 	0 	0 	0 
NR,ED02,Y50-54,M,NL	293 	297 	350 	378 	419 	481 	544 
NR,ED02,Y50-54,M,NO	60 	51 	43 	28 	25 	: d	88 
NR,ED02,Y50-54,M,PL	225 	190 	154 	148 	120 	113 	103 
NR,ED02,Y50-54,M,PT	19 	21 d	21 d	25 d	28 d	28 d	27 d
NR,ED02,Y50-54,M,RO	8 	7 	5 	9 	6 	6 	11 
NR,ED02,Y50-54,M,RS	: 	: d	: 	: 	: 	: 	: 
NR,ED02,Y50-54,M,SE	125 	254 	263 	266 	242 	: d	74 
NR,ED02,Y50-54,M,SI	3 	4 d	5 d	3 d	6 d	5 d	2 d
NR,ED02,Y50-54,M,SK	11 	14 	14 	19 	9 	2 	5 
NR,ED02,Y50-54,M,TR	46 	38 	32 	13 	: 	9 	6 
NR,ED02,Y50-54,M,UK	95 bd	84 	154 	51 	: d	266 	573 
NR,ED02,Y50-54,T,AT	2569 	2521 	2498 	2724 	2788 	2856 	2794 
NR,ED02,Y50-54,T,BA	: d	: 	: 	: 	: 	: 	: 
NR,ED02,Y50-54,T,BE	4793 	4825 	4800 	4895 	4472 	4036 d	3549 
NR,ED02,Y50-54,T,BG	2526 	2547 	2732 	2784 	3054 	3371 	3669 
NR,ED02,Y50-54,T,CH	1913 	1909 	1849 	1814 	1736 	1760 	1689 
NR,ED02,Y50-54,T,CY	106 	110 	126 	123 	155 	83 	72 
NR,ED02,Y50-54,T,CZ	4870 	4823 	5569 	5788 	5736 	4975 	5078 
NR,ED02,Y50-54,T,DE	38945 	39173 	38552 	37623 	36926 	36084 	36070 
NR,ED02,Y50-54,T,DK	3894 d	3986 b	: d	: 	: 	: 	: 
NR,ED02,Y50-54,T,EE	: d	: d	: d	: d	: d	: d	: d
NR,ED02,Y50-54,T,EL	4026 	4035 	3870 	3448 	2754 	1555 	1430 
NR,ED02,Y50-54,T,ES	11695 	12160 	12637 	13155 	13681 	14295 	14943 
NR,ED02,Y50-54,T,EU27_2020	150042 d	156626 d	154909 d	155416 d	159623 d	148697 d	150723 d
NR,ED02,Y50-54,T,EU28	152812 d	159882 d	158282 d	157951 d	: 	155115 d	158688 d
NR,ED02,Y50-54,T,FI	2556 	2511 	2415 	2278 	2217 	2258 	2229 
NR,ED02,Y50-54,T,FR	16499 	16338 	16566 	16752 	16977 	17173 	17369 
NR,ED02,Y50-54,T,HR	922 	1017 	1147 	1297 	1391 	1834 	1765 d
NR,ED02,Y50-54,T,HU	4665 	4963 	5277 	5706 	5861 	5771 	6823 
NR,ED02,Y50-54,T,IE	: d	: d	: 	: d	: d	: 	: 
NR,ED02,Y50-54,T,IS	201 	220 	224 	247 	245 	257 	237 
NR,ED02,Y50-54,T,IT	18727 	18526 	18211 	18512 	18338 	17792 	17464 
NR,ED02,Y50-54,T,LI	13 	12 	: 	14 	13 	14 	13 
NR,ED02,Y50-54,T,LT	1966 	1842 	1724 	1712 	1753 	2171 d	2405 d
NR,ED02,Y50-54,T,LU	127 	121 	94 	121 	120 	131 	126 
NR,ED02,Y50-54,T,LV	1184 	1193 	1021 	1030 	1051 	1050 	799 
NR,ED02,Y50-54,T,ME	128 d	: d	: 	: 	: 	: 	: 
NR,ED02,Y50-54,T,MK	: d	: d	643 d	: 	: d	: 	: 
NR,ED02,Y50-54,T,MT	84 	76 	71 	64 	55 	62 	82 
NR,ED02,Y50-54,T,NL	2961 	3095 	3418 	3621 	3826 	4075 	4383 
NR,ED02,Y50-54,T,NO	1117 	990 	938 	611 	562 	: d	1862 d
NR,ED02,Y50-54,T,PL	12799 	12955 	13948 	13474 	13740 	13400 	12026 
NR,ED02,Y50-54,T,PT	3044 	3242 d	3491 d	3652 d	3732 d	3705 d	3524 d
NR,ED02,Y50-54,T,RO	2420 	2537 	2752 	3244 	3834 	4527 	5159 
NR,ED02,Y50-54,T,RS	: 	: d	: 	: 	: 	: 	: 
NR,ED02,Y50-54,T,SE	5425 	10464 	10366 	10147 	9906 	: d	1781 
NR,ED02,Y50-54,T,SI	325 	738 d	869 d	962 d	981 d	993 d	982 d
NR,ED02,Y50-54,T,SK	2914 	2828 	2756 	2696 	2618 	2689 	2578 
NR,ED02,Y50-54,T,TR	2015 	1918 	322 	222 	: 	965 	834 
NR,ED02,Y50-54,T,UK	2771 bd	3255 	3373 	2535 	: d	6418 	7965 
NR,ED02,Y55-59,F,AT	2166 	2065 	2052 	2071 	1866 	1662 	1458 
NR,ED02,Y55-59,F,BA	: d	: 	: 	: 	: 	: 	: 
NR,ED02,Y55-59,F,BE	3564 	3011 	2471 	2380 	1700 	1405 d	1159 
NR,ED02,Y55-59,F,BG	3246 	3525 	4112 	4639 	4960 	5114 	4851 
NR,ED02,Y55-59,F,CH	1592 	1586 	1663 	1615 	1541 	1630 	1537 
NR,ED02,Y55-59,F,CY	99 	87 	77 	63 	89 	35 	37 
NR,ED02,Y55-59,F,CZ	5064 	5016 	4966 	4803 	4597 	3712 	3554 
NR,ED02,Y55-59,F,DE	33684 	33461 	33699 	33809 	33289 	31347 	29143 
NR,ED02,Y55-59,F,DK	3633 d	3718 b	: d	: 	: 	: 	: 
NR,ED02,Y55-59,F,EE	: d	: d	: d	: d	: d	: d	: d
NR,ED02,Y55-59,F,EL	1750 	1295 	962 	677 	511 	238 	238 
NR,ED02,Y55-59,F,ES	11745 	11977 	11966 	11858 	11370 	10910 	11163 
NR,ED02,Y55-59,F,EU27_2020	133753 d	136992 d	132687 d	130640 d	129960 d	109328 d	106038 d
NR,ED02,Y55-59,F,EU28	135735 d	138892 d	134753 d	132322 d	: 	114548 d	111904 d
NR,ED02,Y55-59,F,FI	2174 	2102 	2054 	1986 	1795 	1705 	1590 
NR,ED02,Y55-59,F,FR	11619 	10981 	10537 	10019 	9494 	8710 	7695 
NR,ED02,Y55-59,F,HR	1289 	1301 	1160 	1001 	784 	913 	787 d
NR,ED02,Y55-59,F,HU	5116 	5078 	4730 	4608 	4434 	4216 	4529 
NR,ED02,Y55-59,F,IE	: d	: d	: 	: d	: d	: 	: 
NR,ED02,Y55-59,F,IS	215 	219 	213 	215 	204 	193 	180 
NR,ED02,Y55-59,F,IT	17501 	17336 	17613 	18084 	18259 	18758 	19926 
NR,ED02,Y55-59,F,LI	13 	15 	: 	15 	15 	12 	8 
NR,ED02,Y55-59,F,LT	1843 	1870 	1863 	1934 	1766 	1955 d	1725 d
NR,ED02,Y55-59,F,LU	106 	115 	93 	103 	127 	108 	101 
NR,ED02,Y55-59,F,LV	1102 	1138 	1001 	943 	839 	734 	515 
NR,ED02,Y55-59,F,ME	122 d	: d	: 	: 	: 	: 	: 
NR,ED02,Y55-59,F,MK	: d	: d	603 d	: 	: d	: 	: d
NR,ED02,Y55-59,F,MT	67 	79 	99 	122 	140 	155 	163 
NR,ED02,Y55-59,F,NL	3090 	3204 	3585 	3874 	4062 	4033 	3949 
NR,ED02,Y55-59,F,NO	783 	696 	707 	472 	437 	: d	1348 
NR,ED02,Y55-59,F,PL	9630 	8715 	8043 	6460 	5660 	4586 	3440 
NR,ED02,Y55-59,F,PT	3422 	3250 d	2984 d	2575 d	2076 d	1635 d	1266 d
NR,ED02,Y55-59,F,RO	4190 	4769 	5283 	5756 	6234 	6475 	6371 
NR,ED02,Y55-59,F,RS	: 	: d	: 	: 	: 	: 	: 
NR,ED02,Y55-59,F,SE	4620 	9491 	10059 	10377 	10429 	: d	1960 
NR,ED02,Y55-59,F,SI	347 	804 d	742 d	730 d	645 d	557 d	430 d
NR,ED02,Y55-59,F,SK	2685 	2604 	2537 	2442 	2381 	1997 	1638 
NR,ED02,Y55-59,F,TR	1097 	818 	106 	64 	: 	332 	302 
NR,ED02,Y55-59,F,UK	1982 bd	1900 	2066 	1682 	: d	5220 	5867 
NR,ED02,Y55-59,M,AT	21 	15 	17 	23 	25 	23 	23 
NR,ED02,Y55-59,M,BA	0 	: 	: 	: 	: 	: 	: 
NR,ED02,Y55-59,M,BE	43 	39 	25 	25 	14 	14 d	16 
NR,ED02,Y55-59,M,BG	6 	10 	10 	5 	14 	12 	11 
NR,ED02,Y55-59,M,CH	50 	46 	49 	58 	63 	64 	57 
NR,ED02,Y55-59,M,CY	3 	0 	2 	0 	1 	1 	0 
NR,ED02,Y55-59,M,CZ	7 	7 	9 	4 	3 	2 	3 
NR,ED02,Y55-59,M,DE	646 	595 	546 	477 	440 	393 	342 
NR,ED02,Y55-59,M,DK	158 d	156 b	: d	: 	: 	: 	: 
NR,ED02,Y55-59,M,EE	: d	: d	: d	: d	: d	: d	1 d
NR,ED02,Y55-59,M,EL	21 	12 	6 	5 	6 	3 	3 
NR,ED02,Y55-59,M,ES	929 	1039 	1164 	1271 	1344 	1411 	957 
NR,ED02,Y55-59,M,EU27_2020	4190 d	4297 d	4321 d	4754 d	4462 d	5626 d	4088 d
NR,ED02,Y55-59,M,EU28	4267 d	4386 d	4419 d	4788 d	: 	5820 d	4491 d
NR,ED02,Y55-59,M,FI	58 	51 	47 	45 	46 	55 	48 
NR,ED02,Y55-59,M,FR	1512 	1467 	1496 	1478 	1406 	1259 	1002 
NR,ED02,Y55-59,M,HR	3 	3 	7 	2 	4 	6 	2 d
NR,ED02,Y55-59,M,HU	3 	4 	5 	3 	0 	1 	2 
NR,ED02,Y55-59,M,IE	: d	: d	: 	: d	: d	: 	: 
NR,ED02,Y55-59,M,IS	1 	1 	1 	2 	1 	1 	2 
NR,ED02,Y55-59,M,IT	61 	60 	53 	47 	47 	59 	67 
NR,ED02,Y55-59,M,LI	0 	0 	: 	0 	0 	0 	0 
NR,ED02,Y55-59,M,LT	4 	5 	4 	6 	4 	5 d	7 d
NR,ED02,Y55-59,M,LU	1 	1 	1 	2 	1 	1 	0 
NR,ED02,Y55-59,M,LV	4 	8 	2 	1 	2 	1 	1 
NR,ED02,Y55-59,M,ME	1 d	: d	: 	: 	: 	: 	: 
NR,ED02,Y55-59,M,MK	: d	: d	55 d	: 	: d	: 	: d
NR,ED02,Y55-59,M,MT	1 	0 	0 	0 	0 	0 	0 
NR,ED02,Y55-59,M,NL	436 	457 	552 	641 	757 	862 	977 
NR,ED02,Y55-59,M,NO	40 	34 	30 	15 	15 	: d	35 d
NR,ED02,Y55-59,M,PL	112 	111 	93 	73 	78 	80 	76 
NR,ED02,Y55-59,M,PT	26 	24 d	24 d	16 d	9 d	3 d	9 d
NR,ED02,Y55-59,M,RO	5 	11 	9 	7 	7 	7 	4 
NR,ED02,Y55-59,M,RS	: 	: d	: 	: 	: 	: 	: 
NR,ED02,Y55-59,M,SE	118 	206 	232 	247 	233 	: d	78 
NR,ED02,Y55-59,M,SI	2 	3 d	5 d	2 d	1 d	1 d	1 d
NR,ED02,Y55-59,M,SK	10 	13 	13 	20 	8 	1 	3 
NR,ED02,Y55-59,M,TR	21 	6 	4 	2 	: 	3 	3 
NR,ED02,Y55-59,M,UK	77 bd	88 	99 	34 	: d	194 	403 
NR,ED02,Y55-59,T,AT	2187 	2080 	2068 	2094 	1892 	1685 	1481 
NR,ED02,Y55-59,T,BA	: d	: 	: 	: 	: 	: 	: 
NR,ED02,Y55-59,T,BE	3607 	3050 	2496 	2405 	1714 	1419 d	1175 
NR,ED02,Y55-59,T,BG	3252 	3535 	4122 	4644 	4974 	5126 	4862 
NR,ED02,Y55-59,T,CH	1642 	1632 	1712 	1673 	1604 	1694 	1594 
NR,ED02,Y55-59,T,CY	102 	87 	79 	63 	90 	36 	37 
NR,ED02,Y55-59,T,CZ	5071 	5023 	4975 	4807 	4600 	3714 	3557 
NR,ED02,Y55-59,T,DE	34330 	34056 	34245 	34286 	33729 	31739 	29484 
NR,ED02,Y55-59,T,DK	3791 d	3874 b	: d	: 	: 	: 	: 
NR,ED02,Y55-59,T,EE	: d	: d	: d	: d	: d	: d	: d
NR,ED02,Y55-59,T,EL	1771 	1307 	968 	682 	517 	241 	241 
NR,ED02,Y55-59,T,ES	12674 	13016 	13130 	13129 	12714 	12321 	12120 
NR,ED02,Y55-59,T,EU27_2020	137943 d	141290 d	137008 d	135395 d	134422 d	114954 d	110125 d
NR,ED02,Y55-59,T,EU28	140001 d	143278 d	139173 d	137111 d	: 	120368 d	116395 d
NR,ED02,Y55-59,T,FI	2232 	2153 	2101 	2031 	1841 	1760 	1638 
NR,ED02,Y55-59,T,FR	13131 	12448 	12033 	11497 	10900 	9969 	8697 
NR,ED02,Y55-59,T,HR	1292 	1304 	1167 	1003 	788 	919 	789 d
NR,ED02,Y55-59,T,HU	5119 	5082 	4735 	4611 	4434 	4217 	4531 
NR,ED02,Y55-59,T,IE	: d	: d	: 	: d	: d	: 	: 
NR,ED02,Y55-59,T,IS	216 	220 	214 	217 	205 	194 	182 
NR,ED02,Y55-59,T,IT	17562 	17396 	17666 	18131 	18306 	18817 	19993 
NR,ED02,Y55-59,T,LI	13 	15 	: 	15 	15 	12 	8 
NR,ED02,Y55-59,T,LT	1847 	1875 	1867 	1940 	1770 	1960 d	1732 d
NR,ED02,Y55-59,T,LU	107 	116 	94 	105 	128 	109 	101 
NR,ED02,Y55-59,T,LV	1106 	1146 	1003 	944 	841 	735 	516 
NR,ED02,Y55-59,T,ME	123 d	: d	: 	: 	: 	: 	: 
NR,ED02,Y55-59,T,MK	: d	: d	658 d	: 	: d	: 	: 
NR,ED02,Y55-59,T,MT	68 	79 	99 	122 	140 	155 	163 
NR,ED02,Y55-59,T,NL	3526 	3662 	4136 	4515 	4819 	4896 	4925 
NR,ED02,Y55-59,T,NO	824 	730 	737 	487 	452 	: d	1383 
NR,ED02,Y55-59,T,PL	9742 	8826 	8136 	6533 	5738 	4666 	3516 
NR,ED02,Y55-59,T,PT	3448 	3274 d	3008 d	2591 d	2085 d	1638 d	1275 d
NR,ED02,Y55-59,T,RO	4195 	4780 	5292 	5763 	6241 	6482 	6375 
NR,ED02,Y55-59,T,RS	: 	: d	: 	: 	: 	: 	: 
NR,ED02,Y55-59,T,SE	4738 	9697 	10291 	10624 	10662 	: d	2038 
NR,ED02,Y55-59,T,SI	349 	807 d	747 d	732 d	646 d	558 d	431 d
NR,ED02,Y55-59,T,SK	2695 	2617 	2550 	2462 	2389 	1998 	1641 
NR,ED02,Y55-59,T,TR	1118 	824 	110 	66 	: 	335 	305 
NR,ED02,Y55-59,T,UK	2059 bd	1988 	2165 	1716 	: d	5414 	6269 
NR,ED02,Y60-64,F,AT	362 	275 	212 	176 	127 	114 	105 
NR,ED02,Y60-64,F,BA	: d	: 	: 	: 	: 	: 	: 
NR,ED02,Y60-64,F,BE	448 	279 	250 	268 	193 	182 d	169 
NR,ED02,Y60-64,F,BG	2321 	2247 	2245 	2214 	1807 	1320 	933 
NR,ED02,Y60-64,F,CH	999 	931 	861 	790 	669 	626 	573 
NR,ED02,Y60-64,F,CY	28 	24 	25 	21 	21 	8 	7 
NR,ED02,Y60-64,F,CZ	1859 	1842 	1445 	1217 	999 	895 	679 
NR,ED02,Y60-64,F,DE	21989 	20018 	17533 	14633 	11685 	9133 	6926 
NR,ED02,Y60-64,F,DK	2405 d	2728 b	: d	: 	: 	: 	: 
NR,ED02,Y60-64,F,EE	: d	: d	: d	: d	: d	: d	: d
NR,ED02,Y60-64,F,EL	231 	149 	96 	69 	44 	2 	0 
NR,ED02,Y60-64,F,ES	4506 	4264 	3840 	3773 	3482 	3394 	3517 
NR,ED02,Y60-64,F,EU27_2020	67368 d	67239 d	59069 d	52984 d	49497 d	34699 d	29779 d
NR,ED02,Y60-64,F,EU28	68099 d	68228 d	59982 d	53493 d	: 	36015 d	31347 d
NR,ED02,Y60-64,F,FI	1239 	1144 	1024 	923 	770 	634 	525 
NR,ED02,Y60-64,F,FR	2123 	1790 	1659 	1436 	1279 	1174 	1109 
NR,ED02,Y60-64,F,HR	477 	421 	331 	292 	250 	306 	288 d
NR,ED02,Y60-64,F,HU	1104 	991 	723 	643 	445 	216 	238 
NR,ED02,Y60-64,F,IE	: d	: d	: 	: d	: d	: 	: 
NR,ED02,Y60-64,F,IS	144 	154 	135 	138 	128 	125 	130 
NR,ED02,Y60-64,F,IT	12593 	13219 	13054 	12252 	13969 	12087 	9719 
NR,ED02,Y60-64,F,LI	9 	2 	: 	3 	3 	3 	1 
NR,ED02,Y60-64,F,LT	1274 	1102 	926 	846 	789 	862 d	757 d
NR,ED02,Y60-64,F,LU	16 	19 	10 	11 	16 	9 	13 
NR,ED02,Y60-64,F,LV	666 	612 	488 	433 	398 	369 	244 
NR,ED02,Y60-64,F,ME	57 d	: d	: 	: 	: 	: 	: 
NR,ED02,Y60-64,F,MK	: d	: d	260 d	: 	: d	: 	: 
NR,ED02,Y60-64,F,MT	54 	57 	46 	49 	39 	31 	20 
NR,ED02,Y60-64,F,NL	2662 	2508 	2428 	2255 	2109 	1826 	1618 
NR,ED02,Y60-64,F,NO	508 	452 	414 	192 	210 	: d	517 d
NR,ED02,Y60-64,F,PL	2415 	1894 	1550 	1156 	993 	801 	720 
NR,ED02,Y60-64,F,PT	1365 	901 d	585 d	365 d	224 d	164 d	158 d
NR,ED02,Y60-64,F,RO	2318 	2306 	2140 	1780 	1483 	1089 	779 
NR,ED02,Y60-64,F,RS	: 	: d	: 	: 	: 	: 	: 
NR,ED02,Y60-64,F,SE	4220 	7752 	7811 	7632 	7250 	: d	1341 
NR,ED02,Y60-64,F,SI	39 	63 d	31 d	31 d	18 d	14 d	6 d
NR,ED02,Y60-64,F,SK	653 	633 	617 	623 	608 	388 	300 
NR,ED02,Y60-64,F,TR	420 	198 	30 	24 	: 	103 	92 
NR,ED02,Y60-64,F,UK	732 bd	989 	912 	509 	: d	1316 	1568 
NR,ED02,Y60-64,M,AT	8 	3 	2 	11 	9 	9 	7 
NR,ED02,Y60-64,M,BA	2 	: 	: 	: 	: 	: 	: 
NR,ED02,Y60-64,M,BE	8 	2 	3 	4 	2 	2 d	2 
NR,ED02,Y60-64,M,BG	5 	8 	6 	5 	5 	3 	2 
NR,ED02,Y60-64,M,CH	25 	26 	26 	21 	17 	11 	12 
NR,ED02,Y60-64,M,CY	1 	0 	0 	1 	2 	0 	0 
NR,ED02,Y60-64,M,CZ	5 	5 	6 	5 	2 	1 	4 
NR,ED02,Y60-64,M,DE	350 	305 	280 	241 	211 	204 	195 
NR,ED02,Y60-64,M,DK	106 d	121 b	: d	: 	: 	: 	: 
NR,ED02,Y60-64,M,EE	: d	: d	: d	: d	: d	: d	2 d
NR,ED02,Y60-64,M,EL	3 	2 	3 	1 	2 	0 	0 
NR,ED02,Y60-64,M,ES	455 	469 	465 	454 	424 	403 	247 
NR,ED02,Y60-64,M,EU27_2020	2117 d	2128 d	2035 d	2025 d	1891 d	1721 d	1410 d
NR,ED02,Y60-64,M,EU28	2131 d	2185 d	2078 d	2035 d	: 	1784 d	1550 d
NR,ED02,Y60-64,M,FI	33 	29 	34 	30 	28 	22 	15 
NR,ED02,Y60-64,M,FR	326 	274 	229 	161 	135 	104 	86 
NR,ED02,Y60-64,M,HR	3 	2 	1 	3 	2 	2 	1 d
NR,ED02,Y60-64,M,HU	0 	0 	2 	0 	0 	0 	2 
NR,ED02,Y60-64,M,IE	: d	: d	: 	: d	: d	: 	: 
NR,ED02,Y60-64,M,IS	0 	1 	1 	1 	0 	1 	2 
NR,ED02,Y60-64,M,IT	39 	35 	40 	45 	51 	39 	31 
NR,ED02,Y60-64,M,LI	0 	0 	: 	0 	0 	0 	0 
NR,ED02,Y60-64,M,LT	5 	5 	6 	7 	5 	4 d	5 d
NR,ED02,Y60-64,M,LU	0 	0 	0 	1 	1 	1 	0 
NR,ED02,Y60-64,M,LV	5 	2 	1 	1 	1 	1 	1 
NR,ED02,Y60-64,M,ME	0 d	: d	: 	: 	: 	: 	: 
NR,ED02,Y60-64,M,MK	: d	: d	51 d	: 	: d	: 	: d
NR,ED02,Y60-64,M,MT	0 	0 	0 	0 	0 	0 	0 
NR,ED02,Y60-64,M,NL	569 	616 	691 	742 	789 	766 	748 
NR,ED02,Y60-64,M,NO	13 	11 	15 	11 	8 	: d	25 d
NR,ED02,Y60-64,M,PL	67 	58 	58 	49 	44 	31 	27 
NR,ED02,Y60-64,M,PT	5 	6 d	4 d	3 d	4 d	3 d	3 d
NR,ED02,Y60-64,M,RO	6 	4 	2 	4 	1 	1 	1 
NR,ED02,Y60-64,M,RS	: 	: d	: 	: 	: 	: 	: 
NR,ED02,Y60-64,M,SE	116 	180 	198 	196 	179 	: d	48 
NR,ED02,Y60-64,M,SI	0 	1 d	0 d	0 d	0 d	0 d	0 d
NR,ED02,Y60-64,M,SK	2 	3 	3 	3 	0 	0 	0 
NR,ED02,Y60-64,M,TR	26 	1 	2 	0 	: 	1 	0 
NR,ED02,Y60-64,M,UK	15 bd	57 	44 	10 	: d	63 	141 
NR,ED02,Y60-64,T,AT	370 	278 	215 	186 	136 	123 	112 
NR,ED02,Y60-64,T,BA	: d	: 	: 	: 	: 	: 	: 
NR,ED02,Y60-64,T,BE	456 	281 	253 	272 	195 	184 d	171 
NR,ED02,Y60-64,T,BG	2326 	2255 	2251 	2219 	1812 	1323 	935 
NR,ED02,Y60-64,T,CH	1024 	957 	887 	811 	686 	637 	585 
NR,ED02,Y60-64,T,CY	29 	24 	25 	22 	23 	8 	7 
NR,ED02,Y60-64,T,CZ	1864 	1846 	1451 	1222 	1001 	896 	683 
NR,ED02,Y60-64,T,DE	22339 	20323 	17813 	14875 	11896 	9337 	7122 
NR,ED02,Y60-64,T,DK	2511 d	2849 b	: d	: 	: 	: 	: 
NR,ED02,Y60-64,T,EE	: d	: d	: d	: d	: d	: d	: d
NR,ED02,Y60-64,T,EL	234 	151 	99 	70 	46 	2 	0 
NR,ED02,Y60-64,T,ES	4961 	4733 	4305 	4227 	3906 	3797 	3764 
NR,ED02,Y60-64,T,EU27_2020	69484 d	69367 d	61104 d	55009 d	51388 d	36420 d	31189 d
NR,ED02,Y60-64,T,EU28	70231 d	70413 d	62060 d	55528 d	: 	37799 d	32897 d
NR,ED02,Y60-64,T,FI	1272 	1173 	1058 	953 	798 	656 	540 
NR,ED02,Y60-64,T,FR	2449 	2064 	1888 	1597 	1414 	1278 	1195 
NR,ED02,Y60-64,T,HR	480 	423 	332 	295 	252 	308 	289 d
NR,ED02,Y60-64,T,HU	1104 	991 	725 	643 	445 	216 	240 
NR,ED02,Y60-64,T,IE	: d	: d	: 	: d	: d	: 	: 
NR,ED02,Y60-64,T,IS	144 	155 	136 	139 	128 	126 	132 
NR,ED02,Y60-64,T,IT	12632 	13254 	13094 	12297 	14020 	12126 	9750 
NR,ED02,Y60-64,T,LI	9 	2 	: 	3 	3 	3 	1 
NR,ED02,Y60-64,T,LT	1279 	1107 	932 	853 	794 	866 d	762 d
NR,ED02,Y60-64,T,LU	16 	19 	10 	12 	17 	10 	13 
NR,ED02,Y60-64,T,LV	671 	614 	489 	434 	399 	370 	245 
NR,ED02,Y60-64,T,ME	57 d	: d	: 	: 	: 	: 	: 
NR,ED02,Y60-64,T,MK	: d	: d	311 d	: 	: d	: 	: d
NR,ED02,Y60-64,T,MT	54 	57 	46 	49 	39 	31 	20 
NR,ED02,Y60-64,T,NL	3232 	3124 	3119 	2997 	2899 	2592 	2366 
NR,ED02,Y60-64,T,NO	521 	463 	428 	203 	218 	: d	542 d
NR,ED02,Y60-64,T,PL	2482 	1952 	1608 	1205 	1037 	832 	747 
NR,ED02,Y60-64,T,PT	1370 	907 d	589 d	368 d	228 d	167 d	161 d
NR,ED02,Y60-64,T,RO	2324 	2310 	2142 	1784 	1484 	1090 	780 
